subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431290,United States of America,Solano,California,Putah Canyon,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,4 - April - IV,8,1962,,,,Salix sp.,,W. E. LaBerge,,,,LACMENT591749_had_lbs.jpg
81431292,United States of America,Solano,California,Putah Canyon,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,4 - April - IV,8,1962,,,,Salix sp.,,W. E. LaBerge,,,,LACMENT591750_had_lbs.jpg
81431295,United States of America,Riverside,California,"Idyllwild, San Jacinto Mts.",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,W. L. Swisher,6 - June - VI,2,1940,,,,,,W. E. LaBerge,,,,LACMENT591751_had_lbs.jpg
81431297,United States of America,San Bernardino,California,Miller Canyon,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,L.A. Stange,7 - July - VII,1,1956,,,,,,W. E. LaBerge,,,,LACMENT591752_had_lbs.jpg
81431299,United States of America,Los Angeles,California,,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,4 - April - IV,29,1939,,,,,,W. E. LaBerge,,,,LACMENT591753_had_lbs.jpg
81431300,United States of America,Yolo,California,Davis,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,31,1962,,,,Salix sp.,,W. E. LaBerge,,,,LACMENT591754_had_lbs.jpg
81431303,United States of America,Yolo,California,Davis,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,31,1962,,,,Salix sp.,,W. E. LaBerge,,,,LACMENT591755_had_lbs.jpg
81431305,United States of America,Yolo,California,Davis,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,3 - March - III,31,1962,,,,Salix sp.,,W. E. LaBerge,,,,LACMENT591756_had_lbs.jpg
81431307,United States of America,Napa,California,Monticello Dam,Andrena (Melandrena) cerasifolii,R. L. Westcott,5 - May - V,27,1962,,,,,,,,,,LACMENT591757_had_lbs.jpg
81431309,United States of America,Riverside,California,Anza,Andrena (Melandrena) cerasifolii,L.A. Stange,6 - June - VI,24,1956,,,,,,,,,,LACMENT591758_had_lbs.jpg
81431311,United States of America,Los Angeles,California,Beverly Glen,Andrena (Melandrena) cerasifolii; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena (Melandrena) cerasifolii Ckll.,,5 - May - V,9,1953,,,,,,W. E. LaBerge,,,,LACMENT591759_had_lbs.jpg
81431313,United States of America,Los Angeles,California,Jackson Lk.,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,jackson LK,6 - June - VI,30,1973,6 - June - VI,30,,andrena,,W. E. LaBerge,6 / 30 / 1973,,,LACMENT591760_had_lbs.jpg
81431314,United States of America,Los Angeles,California,"Stunt Cyn., Santa Monica Mts.",Andrena (Melandrena) cerasifolii,J. Northern,7 - July - VII,23,1963,,,,,,,,,,LACMENT591761_had_lbs.jpg
81431316,United States of America,Los Angeles,California,Maple Canyon,Andrena (Melandrena) cerasifolii,Jack Lyon,3 - March - III,16,1968,,,,,,,,,,LACMENT591762_had_lbs.jpg
81431318,United States of America,Los Angeles,California,Maple Canyon,Andrena (Melandrena) cerasifolii,Jack Lyon,3 - March - III,29,1969,,,,Ceacrass Torm.,,,,,,LACMENT591763_had_lbs.jpg
81431320,United States of America,Los Angeles,California,"Pico Canyon, 2 mi. W. of Newhall",Andrena (Melandrena) cerasifolii,Jack Lyon,3 - March - III,19,1970,,,,,,,,,,LACMENT591764_had_lbs.jpg
81431322,United States of America,Los Angeles,California,Pico Canyon 2 mi. W. of Newhall,Andrena (Melandrena) cerasifolii,Lyon,4 - April - IV,21,1972,,,,,,,1972,,,LACMENT591765_had_lbs.jpg
81431324,United States of America,Los Angeles,California,Pico Canyon. 2 mi. W. of Newhall,Andrena (Melandrena) cerasifolii,Lyon,4 - April - IV,21,1972,,,,,,,,,,LACMENT591766_had_lbs.jpg
81431326,United States of America,Los Angeles,California,Wickham Cyn.,Andrena (Melandrena) cerasifolii,Jack Lyon,3 - March - III,31,1968,,,,,,,,,,LACMENT591767_had_lbs.jpg
81431328,United States of America,Santa Barbara,California,Santa Barbara,Andrena (Melandrena) cerasifolii,C. Nagano,3 - March - III,6,1986,,,,,,,6 / March / 1986,,,LACMENT591768_had_lbs.jpg
81431331,United States of America,Los Angeles,California,Santa Monica Mts. Tuna Canyon,Andrena (Melandrena) cerasifolii,H.A. Hespenheide,5 - May - V,16,1974,5 - May - V,18,1974,,,,1974,,,LACMENT591769_had_lbs.jpg
81431332,United States of America,Cochise,Arizona,"Cave Ck. Canyon, Chiricahua Mts. 1 mi SW Portal, 31°54'N 109°09-10'W",31°54'N 109°09-10'W,Portal,5 - May - V,31,1983,5 - May - V,31,1983,Andrena cerasifolii,,,,,4900',LACMENT591770_had_lbs.jpg
81431335,United States of America,Cochise,Arizona,"Cave Ck. Cyn. Chiricahua Mts. Sunny Flat, 31 degrees 53’N 109 degrees 10’W",Andrena (Melandrena) cerasifolii,M. Mutscher,6 - June - VI,4,1983,,,,,,,,,5100',LACMENT591771_had_lbs.jpg
81431337,United States of America,Mariposa,California,1 mi W Mt. Bullion,Andrena (Melandrena) cerasifolii; Hydrophyllaceae,R R Snelling,5 - May - V,18,1988,5 - May - V,18,1988,Eriodictyon californicum HYDROPHYLLACEAE,,,18 May 1988,,,LACMENT591772_had_lbs.jpg
81431341,United States of America,Cochise,Arizona,Cave Ck. Cyn. Chiricahua Mts. Sunny Flat 31°53'N 109°10'W,31* 53’ N 109*10’ W,M. Mutschler,5 - May - V,3,1905,,,,Andrena cerasifolii,,M. Mutschcer,,,5100',LACMENT591773_had_lbs.jpg
81431343,United States of America,Yavapai,Arizona,Prescott,Andrena (Melandrena) cerasifolii; 4760; Andrena cerasifolii Ckll,Oslar,Not shown,Not shown,Not shown,,,,,,Vier,,,,LACMENT591774_had_lbs.jpg
81431345,United States of America,Yavapai,Arizona,Prescott,4761 Andena (Melandrena) cerasifolii,Oslar,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT591775_had_lbs.jpg
81431349,United States of America,Yavapai,Arizona,Prescott,Andrena (Melandrena) cerasifolii,Oslar,Not shown,Not shown,Not shown,,,,,,,,,,LACMENT591776_had_lbs.jpg
81431352,United States of America,Yavapai,Arizona,Jerome,Andrena (Melandrena) cerasifolii,Oslar,6 - June - VI,26,1902,,,,,,,,,,LACMENT591777_had_lbs.jpg
81431355,United States of America,Los Angeles,California,Trail Canyon Tujunga Cñ.,Andrena (Melandrena) cerasifolii,J. Lyon,4 - April - IV,30,1966,,,,Andrenidae sp.,,,,♂,,LACMENT591778_had_lbs.jpg
81431356,United States of America,Los Angeles,California,Tanbark Flat,Andrena (Melandrena) cerasifolii,JK Windsor,6 - June - VI,22,1950,,,,,,,,,,LACMENT591779_had_lbs.jpg
81431359,United States of America,Los Angeles,California,Santa Monica Mts. Tuna Canyon,Andrena (Melandrena) cerasifolii,"H. A, Hespenheide",5 - May - V,16,1974,5 - May - V,18,1974,,,,,,,LACMENT591780_had_lbs.jpg
81431360,United States of America,Los Angeles,California,Wickham Cyn.,Andrena (Melandrena) cerasifolii,Jack Lyon,2 - February - II,24,1968,,,,,,Jack Lyon,,,,LACMENT591781_had_lbs.jpg
